Valuation ($B),Country,Industry,Investor 1,Investor 2,Investor 3,Investor 4,Days Since Joined
1.5,45,1,371,374,518,9,829
1.5,5,8,558,477,327,9,826
1.5,45,14,59,387,344,9,1057
1.5,44,12,233,539,346,9,762
1.49,8,6,179,123,334,9,1984
1.48,8,2,123,115,0,9,1900
1.48,45,14,96,195,99,9,828
1.46,8,0,340,288,111,9,1095
1.45,8,9,64,565,0,9,2344
1.45,8,15,170,402,489,9,2089
1.45,8,12,510,0,0,9,1876
1.45,44,6,226,0,0,9,1462
1.45,45,8,320,144,297,9,1128
1.45,45,4,480,49,497,9,920
1.44,39,2,514,70,387,9,958
1.43,45,12,273,573,59,9,1661
1.43,8,10,460,139,428,9,1197
1.42,45,10,309,246,152,9,1114
1.4,45,10,277,122,502,9,1015
1.4,6,12,94,591,177,9,969
1.4,45,12,42,305,555,9,947
1.4,3,8,374,524,391,9,934
1.4,45,1,341,561,149,9,933
1.4,22,5,506,636,69,9,932
1.4,8,6,371,577,538,9,3584
1.4,45,8,60,255,227,9,2648
1.4,8,13,407,574,0,9,2494
1.4,38,2,458,431,436,9,2397
1.4,8,15,179,493,458,9,2396
1.4,45,6,234,150,193,9,1919
1.4,45,12,371,114,273,9,1323
1.4,39,12,177,96,0,9,1253
1.4,45,12,78,611,82,9,1246
1.4,19,6,461,352,120,9,1043
1.4,45,12,246,246,307,9,1134
1.4,19,14,461,576,538,9,1238
1.4,45,8,239,197,568,9,1289
1.4,45,2,175,129,520,9,1022
1.4,45,10,302,55,503,9,863
1.4,37,6,270,388,55,9,829
1.4,44,8,384,332,54,9,829
1.4,19,8,461,289,350,9,764
1.4,45,12,466,18,482,9,1226
1.4,45,12,253,577,98,9,1225
1.4,45,7,467,432,297,9,1220
1.4,45,13,436,49,184,9,1219
1.4,17,8,82,567,250,9,1164
1.4,45,12,474,618,38,9,1029
1.4,45,4,279,648,330,9,987
1.4,45,4,579,483,537,9,917
1.4,44,13,329,20,162,9,913
1.4,45,10,459,222,140,9,793
1.38,16,6,499,457,0,9,6254
1.38,5,8,420,390,51,9,913
1.36,45,12,139,312,484,9,840
1.35,8,1,152,634,356,9,2313
1.35,18,16,460,255,349,9,2200
1.35,8,10,243,317,142,9,1157
1.35,45,8,78,196,101,9,1050
1.35,45,14,7,85,90,9,913
1.34,45,8,349,472,261,9,1218
1.34,8,9,517,253,476,9,784
1.33,44,6,342,69,273,9,990
1.33,37,6,51,151,208,9,934
1.32,45,12,311,150,277,9,3312
1.32,37,14,237,0,0,9,2124
1.32,8,4,24,563,546,9,1939
1.32,45,10,450,419,83,9,933
1.31,8,1,426,138,430,9,2219
1.31,45,10,12,37,0,9,1415
